#,单词,音标,解释,笔记

0,"acquire","英:/ə'kwaɪə/ 美:/ə'kwaɪr/","vt. 获得；学到；取得；捕获",

1,"advertise","英:/'ædvətaɪz/ 美:/'ædvɚtaɪz/","vt. 公布, 宣传 vt. & vi. (给…)做广告宣传",

2,"aggregation","英:/ˌæɡrɪ'ɡeɪʃən/ 美:/ˌægrɪ'geʃən/","n. 聚集,集成;集结 聚集体,集成体",

3,"alias","英:/'eɪlɪəs/ 美:/'elɪəs/","n. 别名，化名 adv. 别名叫；化名为",

4,"archive","英:/ˈɑ:kaiv/ 美:/'ɑrkaɪv/","v. 存档 n. 档案文件",

5,"asynchronous","/ei'siŋkrənəs/","adj. 异步的",

6,"automatic","英:/ɔːtə'mætɪk/ 美:/'ɔtə'mætɪk/","adj. 自动的；无意识的；必然的 n. 自动装置；半自动武器",

7,"battery","英:/'bæt(ə)rɪ/ 美:/'bætri/","n. 电池，蓄电池",

8,"bound","英:/baʊnd/ 美:/baʊnd/","vi. 跳; 弹回 2.vt. 给…划界, 限制 3.adj.被捆绑的, 被束缚的；一定的, 必定的;",

9,"callback","英:/'kɔːlbæk/ 美:/'kɔlbæk/","n. 回叫信号；回收",

10,"canvas","英:/'kænvəs/ 美:/'kænvəs/","n. 帆布 vt. 用帆布覆盖，用帆布装备",

11,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","n. 能力；容量；生产力；资格，地位",

12,"character","英:/'kærəktə/ 美:/'kærəktɚ/","n. 个性；品质；字符；人物；名誉；地位 adj. [剧](角色)代表某一特性的",

13,"collation","英:/kə'leɪʃ(ə)n/ 美:/kəˈleʃən/","n. 核对,校勘;考订,对照 冷食小吃,便餐",

14,"collection","英:/kə'lekʃ(ə)n/ 美:/kə'lɛkʃən/","n. 收集；收取，托收；聚集；收藏品；募捐",

15,"column","英:/'kɒləm/ 美:/'kɑləm/","n. 圆柱，柱形物；纵队，列；专栏",

16,"compatible","英:/kəm'pætɪb(ə)l/ 美:/kəm'pætəbl/","adj. 可以并存的, 相容的, 协调的",

17,"connect","英:/kə'nekt/ 美:/kə'nɛkt/","vt. 连接；联合；关连 vi. 连接，连结；联合",

18,"connector","英:/kə'nektə(r)/ 美:/kə'nɛktɚ/","n. 连接器；连接体",

19,"constraint","英:/kən'streɪnt/ 美:/kən'strent/","n. 约束；强制；约束条件；对感情的压抑；虚情假意",

20,"coordinator","英:/kəʊˈ ɔ:dɪneɪtə/ 美:/ko'ɔrdn,etɚ/","n. 协调者；同等的人或物；【自】协调器",

21,"criteria","英:/kraɪ'tɪrɪə/ 美:/kraɪˈtɪrɪə/","n. 标准，条件（criterion的复数）",

22,"cursor","英:/ˈkɜ:sə/ 美:/'kɝsɚ/","n. （计算尺的）游标，指针；[计]光标",

23,"deprecate","英:/'deprɪkeɪt/ 美:/'dɛprəket/","vt. 不赞成, 反对",

24,"descendent","英:/di'sendənt/ 美:/dɪˈsɛndənt/","adj. 下降的；降落的；世袭的 n. 后代；子孙",

25,"detach","英:/dɪ'tætʃ/ 美:/dɪ'tætʃ/","vt. 分离；派遣；使超然",

26,"disposal","英:/dɪ'spəʊz(ə)l/ 美:/dɪ'spozl/","n. 清理；处理；支配；安排",

